Timestamp,X Position,Y Position
2024-03-24T20:38:40.258Z,745,895
2024-03-24T20:38:40.259Z,745,895
2024-03-24T20:38:40.265Z,745,895
2024-03-24T20:38:40.267Z,745,895
2024-03-24T20:38:40.267Z,745,895
2024-03-24T20:38:40.906Z,751,865
2024-03-24T20:38:41.458Z,735,864
2024-03-24T20:38:41.913Z,735,864
2024-03-24T20:38:42.428Z,735,864
2024-03-24T20:38:43.034Z,735,864
2024-03-24T20:38:44.970Z,346,1648
2024-03-24T20:38:46.482Z,1327,1849
2024-03-24T20:38:47.610Z,439,2252
2024-03-24T20:38:48.162Z,1096,2400
2024-03-24T20:38:49.090Z,474,2964
2024-03-24T20:38:49.602Z,918,2924
2024-03-24T20:38:50.347Z,173,2979
2024-03-24T20:38:51.050Z,204,3119
2024-03-24T20:38:52.714Z,639,4149
2024-03-24T20:38:54.082Z,645,5124
2024-03-24T20:38:55.858Z,645,6618
2024-03-24T20:38:57.514Z,167,6800
2024-03-24T20:38:59.277Z,401,6405
